epoch,accuracy,loss,val_accuracy,val_loss
0,0.4770215153694153,1.5261698961257935,0.6575342416763306,1.0410600900650024
1,0.7300755977630615,0.8026213049888611,0.7739726305007935,0.6848501563072205
2,0.820244312286377,0.5699427127838135,0.7808219194412231,0.5910133719444275
3,0.8726003766059875,0.43428942561149597,0.8561643958091736,0.45082035660743713
4,0.8813263773918152,0.3868944048881531,0.8767123222351074,0.4083482027053833
5,0.8993601202964783,0.3177873492240906,0.9041095972061157,0.39275696873664856
6,0.9127399921417236,0.2798088490962982,0.9246575236320496,0.36736443638801575
7,0.908667802810669,0.26220911741256714,0.8493150472640991,0.3923070430755615
8,0.9325188994407654,0.22807951271533966,0.9452054500579834,0.3210797905921936
9,0.9290285110473633,0.22272513806819916,0.931506872177124,0.33154603838920593
10,0.9383362531661987,0.19208991527557373,0.9246575236320496,0.3278413712978363
11,0.9400814175605774,0.18383456766605377,0.9178082346916199,0.37925684452056885
12,0.9453170299530029,0.17749923467636108,0.9452054500579834,0.28962743282318115
13,0.9447352886199951,0.16806255280971527,0.9109588861465454,0.3382900357246399
14,0.9319371581077576,0.19765439629554749,0.8630136847496033,0.4259832799434662
15,0.9424083828926086,0.17960184812545776,0.9383561611175537,0.3164862096309662
16,0.9458987712860107,0.15304167568683624,0.9178082346916199,0.32440489530563354
17,0.9511343836784363,0.14539824426174164,0.9178082346916199,0.3697045147418976
18,0.9528796076774597,0.13439272344112396,0.9452054500579834,0.3024710416793823
19,0.9575334787368774,0.13223771750926971,0.9383561611175537,0.2855710983276367
20,0.9552065134048462,0.1372649371623993,0.9383561611175537,0.28185731172561646
21,0.9697498679161072,0.10584001988172531,0.9109588861465454,0.3586370348930359
22,0.9645142555236816,0.10389590263366699,0.931506872177124,0.34105777740478516
23,0.9714950323104858,0.09659264236688614,0.9246575236320496,0.28347307443618774
24,0.9691681265830994,0.09677764028310776,0.9041095972061157,0.38098856806755066
25,0.9569517374038696,0.11908773332834244,0.9520547986030579,0.3489789068698883
26,0.9749854803085327,0.08782805502414703,0.9178082346916199,0.327277809381485
27,0.9709133505821228,0.09268711507320404,0.9246575236320496,0.3600575029850006
28,0.9650959968566895,0.10236445814371109,0.9520547986030579,0.30768492817878723
29,0.9813845157623291,0.07771149277687073,0.9246575236320496,0.3309142589569092
30,0.9738219976425171,0.07562826573848724,0.9178082346916199,0.30553656816482544
31,0.977894127368927,0.0687514990568161,0.8904109597206116,0.3994472324848175
32,0.9790576100349426,0.07526610046625137,0.9246575236320496,0.33384615182876587
33,0.9784758687019348,0.0747799500823021,0.9178082346916199,0.30253759026527405
34,0.9738219976425171,0.08394699543714523,0.9383561611175537,0.34432846307754517
35,0.977894127368927,0.06574894487857819,0.9246575236320496,0.31781548261642456
36,0.9802210330963135,0.06414292752742767,0.9452054500579834,0.31417497992515564
37,0.977894127368927,0.05897220969200134,0.9520547986030579,0.25137245655059814
