label,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
spock,0.7037283182144165,0.7672296762466431,3.629483273925871e-07,0.7228090763092041,0.6996703743934631,-0.0033783968538045883,0.7308675646781921,0.6401347517967224,-0.009817061014473438,0.7440223693847656,0.5948538184165955,-0.016229545697569847,0.7632014751434326,0.5806164145469666,-0.023246223106980324,0.6763994097709656,0.609393298625946,-0.016941294074058533,0.6496416926383972,0.5383908152580261,-0.02589409425854683,0.6345717310905457,0.4976007640361786,-0.030966049060225487,0.6232127547264099,0.4615532159805298,-0.03523814678192139,0.6505957841873169,0.6215417981147766,-0.021809278056025505,0.6253961324691772,0.5416364669799805,-0.035147856920957565,0.6124715805053711,0.4923228919506073,-0.04445117339491844,0.6034514307975769,0.4535590410232544,-0.05085381492972374,0.6292058825492859,0.6429750919342041,-0.025417683646082878,0.5929021835327148,0.5824047327041626,-0.03537030518054962,0.5710899829864502,0.5446003079414368,-0.04303266480565071,0.5572353601455688,0.5162862539291382,-0.047989048063755035,0.6134329438209534,0.6705275774002075,-0.029032127931714058,0.582666277885437,0.6221380233764648,-0.03775591030716896,0.5663101673126221,0.5958278775215149,-0.04279863461852074,0.5536702275276184,0.5714622735977173,-0.045832931995391846
spock,0.6473492980003357,0.7557362914085388,7.311952003874467e-07,0.6623947620391846,0.6684209704399109,0.0026230497751384974,0.6697115898132324,0.6093429923057556,-0.0034502213820815086,0.6864871382713318,0.5627137422561646,-0.01103782095015049,0.7077947854995728,0.5354488492012024,-0.019360175356268883,0.6088017225265503,0.58073890209198,-0.005393624771386385,0.5888166427612305,0.5089287757873535,-0.01328280009329319,0.574485719203949,0.46328800916671753,-0.020228637382388115,0.5611164569854736,0.4220852851867676,-0.02551611326634884,0.5814201235771179,0.5939300060272217,-0.012775449082255363,0.5635353922843933,0.515047550201416,-0.020358679816126823,0.548829972743988,0.4609905481338501,-0.028385035693645477,0.5381878018379211,0.4169905185699463,-0.03383994475007057,0.5600312948226929,0.617680013179779,-0.0191733930259943,0.5296683311462402,0.5568238496780396,-0.024969352409243584,0.5073822736740112,0.5131261944770813,-0.032183688133955,0.4929081201553345,0.47927331924438477,-0.03663472831249237,0.5456751585006714,0.6485214829444885,-0.02508559823036194,0.5184637308120728,0.596136748790741,-0.031222354620695114,0.5023073554039001,0.5616623163223267,-0.03412346914410591,0.4901949167251587,0.5311182737350464,-0.03451092541217804
spock,0.6413491368293762,0.7246495485305786,5.224159735917056e-07,0.6538287401199341,0.6562886834144592,0.0006587665993720293,0.6596776247024536,0.6033211350440979,-0.008833899162709713,0.67414391040802,0.5585054159164429,-0.01994527317583561,0.6953652501106262,0.5289384722709656,-0.032579515129327774,0.6062692999839783,0.5688140392303467,-0.016828054562211037,0.5811014175415039,0.4993040859699249,-0.027515025809407234,0.566106915473938,0.45989173650741577,-0.03405653312802315,0.5540185570716858,0.42512762546539307,-0.03864489868283272,0.5807578563690186,0.5817955732345581,-0.024507595226168633,0.5576212406158447,0.5026664733886719,-0.035110775381326675,0.5434491038322449,0.4536535441875458,-0.04237653315067291,0.5339322686195374,0.4161462187767029,-0.047681938856840134,0.5598689317703247,0.6084547638893127,-0.030975043773651123,0.5239297747612,0.5490841865539551,-0.03879431262612343,0.5001844167709351,0.512296736240387,-0.046031977981328964,0.48435670137405396,0.48383694887161255,-0.051559481769800186,0.5445133447647095,0.6422464847564697,-0.03684776648879051,0.5147115588188171,0.5930795073509216,-0.04299673065543175,0.4971503019332886,0.5633565187454224,-0.045719895511865616,0.48337820172309875,0.5356287360191345,-0.04748820886015892
spock,0.6623568534851074,0.7190685868263245,3.9632865878047596e-07,0.6794476509094238,0.6570358872413635,0.0009039579890668392,0.6858051419258118,0.6036970615386963,-0.007712159771472216,0.6969106197357178,0.5613605976104736,-0.017706705257296562,0.7157981395721436,0.5353490114212036,-0.029498757794499397,0.6327111721038818,0.5669428706169128,-0.02017572522163391,0.6095104217529297,0.49706876277923584,-0.0334174744784832,0.5955313444137573,0.4565201699733734,-0.040931351482868195,0.5840931534767151,0.42173826694488525,-0.046222977340221405,0.6084784269332886,0.5794320702552795,-0.028814217075705528,0.5847431421279907,0.5019610524177551,-0.04256844520568848,0.5729963779449463,0.4550221562385559,-0.05007539317011833,0.5646513104438782,0.4173583686351776,-0.05520850047469139,0.5875840783119202,0.6047778725624084,-0.036126382648944855,0.553071141242981,0.5439582467079163,-0.04726891964673996,0.5319913625717163,0.5037396550178528,-0.054115165024995804,0.5170870423316956,0.4707041084766388,-0.0588517002761364,0.5723015666007996,0.6382448673248291,-0.042695023119449615,0.5431305170059204,0.5894568562507629,-0.05176190659403801,0.5278149247169495,0.5562365055084229,-0.05496859923005104,0.514893651008606,0.524940550327301,-0.056851089000701904
spock,0.6549111604690552,0.6864438652992249,5.266050493446528e-07,0.6722890734672546,0.6226412057876587,0.004170892294496298,0.6788753867149353,0.5713364481925964,-0.0017727422527968884,0.6903705596923828,0.528601348400116,-0.009635492227971554,0.709885835647583,0.5031020045280457,-0.019173530861735344,0.625281035900116,0.5344125032424927,-0.010235661640763283,0.6041945815086365,0.4675207734107971,-0.020352179184556007,0.5917545557022095,0.42660507559776306,-0.026584014296531677,0.5833793878555298,0.39117687940597534,-0.030925799161195755,0.6003262996673584,0.5459979772567749,-0.019073430448770523,0.5795400738716125,0.47078654170036316,-0.03154372423887253,0.5659568309783936,0.421160489320755,-0.040610071271657944,0.5576558113098145,0.3808857202529907,-0.04668319970369339,0.5795729160308838,0.5707294940948486,-0.026533067226409912,0.5456945896148682,0.5096346735954285,-0.03769215941429138,0.5238031148910522,0.46906423568725586,-0.04622560739517212,0.5097272396087646,0.4358000159263611,-0.05167608708143234,0.5639156699180603,0.6038774251937866,-0.03275391459465027,0.5367398262023926,0.5536493062973022,-0.04202786460518837,0.5221672654151917,0.5207679867744446,-0.04603874310851097,0.5102145075798035,0.4891066551208496,-0.04813574254512787
spock,0.3970319628715515,0.7965874075889587,1.7824631015628256e-07,0.44067126512527466,0.7963852882385254,-0.011533262208104134,0.4828953444957733,0.7692375779151917,-0.01687917858362198,0.5107563138008118,0.7434504628181458,-0.021715618669986725,0.5313884019851685,0.7239266633987427,-0.02811315841972828,0.46615707874298096,0.7135154008865356,-0.023234453052282333,0.4868975579738617,0.6629874110221863,-0.037788279354572296,0.499424010515213,0.6303384304046631,-0.046824708580970764,0.5096597075462341,0.6016600728034973,-0.053153280168771744,0.44398295879364014,0.7005831003189087,-0.027383189648389816,0.46532851457595825,0.6428489685058594,-0.04153411090373993,0.4797249138355255,0.6059924364089966,-0.05142127349972725,0.4911666214466095,0.5728469491004944,-0.058568138629198074,0.419121116399765,0.6979138255119324,-0.03229121118783951,0.42899104952812195,0.6397705078125,-0.04693980887532234,0.4361697733402252,0.6016120910644531,-0.055479586124420166,0.44305670261383057,0.5688834190368652,-0.061037253588438034,0.39300212264060974,0.7027528882026672,-0.03784426674246788,0.39910176396369934,0.6580683588981628,-0.05153178051114082,0.40356892347335815,0.6297988295555115,-0.0573185533285141,0.40809765458106995,0.6047405004501343,-0.060855794697999954
spock,0.4685666561126709,0.6016820669174194,4.789341687683191e-07,0.5210225582122803,0.6008378267288208,-0.021400315687060356,0.561179518699646,0.5703098773956299,-0.03242960199713707,0.5940276980400085,0.5523186922073364,-0.04208715632557869,0.6241644024848938,0.552505373954773,-0.052417904138565063,0.5359721779823303,0.45535388588905334,-0.027200832962989807,0.5555859208106995,0.38387686014175415,-0.044551581144332886,0.5679762959480286,0.3372959494590759,-0.056980784982442856,0.5786771178245544,0.2959515452384949,-0.06615044176578522,0.5061013102531433,0.43906548619270325,-0.02857065200805664,0.5292220711708069,0.3587985336780548,-0.047146715223789215,0.5474023222923279,0.3060956597328186,-0.061659641563892365,0.5630989074707031,0.2627808451652527,-0.07120466232299805,0.476192444562912,0.4412728548049927,-0.03160075098276138,0.48204031586647034,0.3639019727706909,-0.050012148916721344,0.49035823345184326,0.31234997510910034,-0.06346706300973892,0.49886298179626465,0.2717481851577759,-0.07119222730398178,0.4481702446937561,0.4573328495025635,-0.03629830479621887,0.4524320960044861,0.39878734946250916,-0.05347824469208717,0.4575096368789673,0.35898032784461975,-0.06274297833442688,0.46401625871658325,0.3225696384906769,-0.06785687059164047
spock,0.43754175305366516,0.5929433107376099,5.682567234543967e-07,0.48542484641075134,0.5864769220352173,-0.02271781675517559,0.527551531791687,0.5620337724685669,-0.037426188588142395,0.5614614486694336,0.5498978495597839,-0.050790026783943176,0.5890976190567017,0.552959144115448,-0.06472482532262802,0.5000322461128235,0.4425908327102661,-0.029622169211506844,0.5195580124855042,0.37358248233795166,-0.04668280482292175,0.5312673449516296,0.3293107748031616,-0.05957255885004997,0.5413193106651306,0.2891019582748413,-0.06921887397766113,0.4706801176071167,0.42734494805336,-0.03103538416326046,0.49513790011405945,0.34919682145118713,-0.04626590013504028,0.5121206641197205,0.30130767822265625,-0.05836392566561699,0.5266565680503845,0.25962233543395996,-0.06713961809873581,0.44172048568725586,0.4292503297328949,-0.034543227404356,0.4458940923213959,0.3521181643009186,-0.04923483356833458,0.45298129320144653,0.3051525354385376,-0.06123916059732437,0.4617409408092499,0.265717089176178,-0.06895081698894501,0.41503605246543884,0.44364050030708313,-0.04017988592386246,0.416695237159729,0.3828026056289673,-0.05221623554825783,0.4211621880531311,0.3437764644622803,-0.05948613956570625,0.42892104387283325,0.3081282377243042,-0.06431793421506882
spock,0.4267350435256958,0.587636411190033,5.647116267937236e-07,0.4745817482471466,0.5823808908462524,-0.022962946444749832,0.51449054479599,0.5586021542549133,-0.039076417684555054,0.5465460419654846,0.5481239557266235,-0.05376260355114937,0.574999213218689,0.5524981617927551,-0.06953471899032593,0.48718395829200745,0.4413200318813324,-0.03429742529988289,0.5050480365753174,0.3706793785095215,-0.051798660308122635,0.5142636299133301,0.3260733485221863,-0.06373315304517746,0.5220516920089722,0.28606703877449036,-0.07283320277929306,0.45786815881729126,0.4264203906059265,-0.03544799983501434,0.4816283881664276,0.34975749254226685,-0.052560918033123016,0.49984216690063477,0.30306559801101685,-0.06459285318851471,0.514921247959137,0.2627643942832947,-0.0730477124452591,0.429463654756546,0.4285100996494293,-0.038375213742256165,0.4320732057094574,0.3490864038467407,-0.05589444935321808,0.4373552203178406,0.29955631494522095,-0.0694350078701973,0.4439915120601654,0.25816214084625244,-0.07803859561681747,0.40381062030792236,0.4433959424495697,-0.04289449378848076,0.405770868062973,0.3815893232822418,-0.05738229677081108,0.4124201238155365,0.34436219930648804,-0.06579648703336716,0.42241692543029785,0.31099823117256165,-0.07156140357255936
spock,0.3992618918418884,0.5940422415733337,5.368808047023776e-07,0.447238564491272,0.5860060453414917,-0.021673448383808136,0.48760363459587097,0.5598626732826233,-0.03548314422369003,0.5232844948768616,0.5447973608970642,-0.04811740666627884,0.5534265637397766,0.5454766154289246,-0.06099557504057884,0.4531111419200897,0.44575023651123047,-0.02611864171922207,0.46729835867881775,0.37483739852905273,-0.040380384773015976,0.4755904972553253,0.33029595017433167,-0.05106943100690842,0.4826796054840088,0.29136666655540466,-0.059614844620227814,0.424155592918396,0.4306827485561371,-0.027224747464060783,0.4423079192638397,0.3516175150871277,-0.04077520594000816,0.4578346610069275,0.30422845482826233,-0.052124734967947006,0.47073864936828613,0.2645852565765381,-0.06040174514055252,0.396716833114624,0.4330282509326935,-0.030346529558300972,0.3958631455898285,0.35527515411376953,-0.0447201207280159,0.3991083800792694,0.30692699551582336,-0.05782613530755043,0.4040842652320862,0.26674705743789673,-0.06638029962778091,0.3732195198535919,0.4485032856464386,-0.035248495638370514,0.3712116777896881,0.3902927041053772,-0.0471804253757,0.3725811839103699,0.35308343172073364,-0.05515992268919945,0.37713223695755005,0.31941282749176025,-0.06070345267653465
